,id,retweet_count,favorite_count
595,679511351870550016,1388,3570
596,679527802031484928,788,2799
597,679530280114372609,2242,5036
598,679722016581222400,509,1750
599,679729593985699840,892,2287
600,679736210798047232,865,2215
601,679777920601223168,1211,3267
602,679828447187857408,15215,38386
603,679844490799091713,835,2510
604,679854723806179328,1341,3035
605,679862121895714818,677,2609
606,679877062409191424,694,2082
607,680055455951884288,7731,17684
608,680070545539371008,951,2718
609,680085611152338944,9668,13537
610,680100725817409536,1484,3786
611,680115823365742593,989,2871
612,680130881361686529,1031,2427
613,680145970311643136,1888,3830
614,680161097740095489,796,2451
615,680176173301628928,1698,4132
616,680191257256136705,550,2272
617,680206703334408192,1276,2997
618,680221482581123072,314,1544
619,680440374763077632,547,1537
620,680473011644985345,810,2690
621,680494726643068929,524,1815
622,680497766108381184,2074,4488
623,680583894916304897,1456,3833
624,680609293079592961,775,2793
625,680798457301471234,1129,3031
626,680801747103793152,897,2504
627,680836378243002368,1442,3659
628,680889648562991104,397,1869
629,680913438424612864,671,2537
630,680934982542561280,479,2200
631,680940246314430465,1145,3425
632,680959110691590145,2157,4826
633,680970795137544192,720,2576
634,681193455364796417,1614,3940
635,681231109724700672,525,2538
636,681242418453299201,589,1589
637,681261549936340994,297,1542
638,681281657291280384,1195,3410
639,681297372102656000,1040,3387
640,681302363064414209,1991,4187
641,681320187870711809,823,2817
642,681339448655802368,4408,9848
643,681523177663676416,6322,15186
644,681579835668455424,1423,3753
645,681610798867845120,515,2023
646,681654059175129088,1007,2801
647,681679526984871937,484,1867
648,681694085539872773,4399,13547
649,681891461017812993,897,2617
650,681981167097122816,1117,2948
651,682003177596559360,1657,3345
652,682032003584274432,2190,6979
653,682047327939461121,1048,3408
654,682059653698686977,1844,5271
655,682242692827447297,1287,3450
656,682259524040966145,1324,4425
657,682303737705140231,1083,3268
658,682389078323662849,506,1774
659,682393905736888321,743,2376
660,682406705142087680,1913,8046
661,682429480204398592,1262,3643
662,682638830361513985,650,2184
663,682662431982772225,1171,3231
664,682697186228989953,390,1395
665,682750546109968385,476,1616
666,682788441537560576,1215,2624
667,682962037429899265,18174,39281
668,683030066213818368,795,2287
669,683078886620553216,611,2107
670,683098815881154561,713,2305
671,683111407806746624,989,3614
672,683142553609318400,1131,3057
673,683357973142474752,1022,3121
674,683391852557561860,2594,8086
675,683449695444799489,1744,4133
676,683462770029932544,726,2591
677,683481228088049664,1078,2797
678,683498322573824003,1038,3362
679,683742671509258241,3616,6909
680,683773439333797890,1476,3550
681,683828599284170753,1147,2974
682,683834909291606017,1202,2781
683,683849932751646720,1065,2787
